"","grid_id","times_sampled","mean_count","hotpvalue_3xmean"
"11442",11442,20,0.087455,0
"11443",11443,20,0.08487,0
"11512",11512,29,5.26848275862069,0
"11513",11513,29,10.4979034482759,0
"11514",11514,29,1.46728275862069,0
"11515",11515,29,0.298448275862069,0
"11516",11516,29,0.631893103448276,0
"11517",11517,29,0,0
"11535",11535,4,1.0584,0
"11536",11536,5,0.07754,0
"11537",11537,5,0.22886,0
"11550",11550,20,1.668245,0
"11551",11551,20,0.755885,0
"11552",11552,20,0.91161,0
"11553",11553,20,0.95539,0
"11554",11554,20,0.59509,0
"11555",11555,20,2.0792,0
"11556",11556,20,2.991315,0
"11557",11557,20,1.046365,0
"11558",11558,10,0.06622,0
"11627",11627,17,20.7927705882353,0.0161
"11628",11628,17,0.539364705882353,0
"11629",11629,17,0.148141176470588,0
"11630",11630,17,0,0
"11631",11631,17,0.0417176470588235,0
"11632",11632,17,12.2900941176471,0
"11650",11650,4,0.625425,0
"11651",11651,5,1.63146,0
"11665",11665,20,1.357845,0
"11666",11666,20,0.40538,0
"11667",11667,20,3.808245,0
"11668",11668,20,3.446935,0
"11669",11669,20,1.46477,0
"11670",11670,20,1.8488,0
"11671",11671,20,2.38272,0
"11672",11672,20,0.80235,0
"11673",11673,20,0.23718,0
"11737",11737,17,1.73394117647059,0
"11738",11738,17,14.0304764705882,0
"11739",11739,17,0.235947058823529,0
"11740",11740,17,0.415264705882353,0
"11741",11741,17,0.381470588235294,0
"11742",11742,17,0.729688235294118,0
"11760",11760,4,17.837225,4e-04
"11778",11778,10,1.70685,0
"11779",11779,20,1.632365,0
"11780",11780,20,0.8314,0
"11781",11781,20,1.92799,0
"11862",11862,17,2.63145294117647,0
"11863",11863,17,0.086764705882353,0
"11864",11864,17,1.71408823529412,0
"11865",11865,17,4.70948823529412,0
"11866",11866,17,3.28737058823529,0
"11867",11867,17,1.17159411764706,0
"11881",11881,12,0,0
"11882",11882,12,0,0
"11884",11884,12,0.0688083333333333,0
"11885",11885,13,1.6939,0
"11902",11902,10,2.60903,0
"11978",11978,17,0,0
"11979",11979,17,0.865094117647059,0
"11980",11980,17,0.0674294117647059,0
"11981",11981,17,1.90825882352941,0
"11982",11982,17,0,0
"11983",11983,17,0,0
"11998",11998,12,0,0
"11999",11999,12,0.0333666666666667,0
"12001",12001,12,51.0898666666667,0.9916
"12002",12002,13,2.91036923076923,0
"12117",12117,17,0.952864705882353,0
"12118",12118,17,0.428382352941176,0
"12119",12119,17,0.972676470588235,0
"12120",12120,17,0.892541176470588,0
"12121",12121,17,0,0
"12122",12122,17,0,0
"12137",12137,12,0.0166833333333333,0
"12138",12138,12,0.0834083333333333,0
"12140",12140,12,61.6814416666667,0.9958
"12141",12141,13,7.37603076923077,0
"12249",12249,17,2.52157058823529,0
"12250",12250,17,0.6742,0
"12251",12251,17,0.168594117647059,0
"12252",12252,17,0.0336823529411765,0
"12253",12253,17,0,0
"12254",12254,17,0,0
"12270",12270,12,0.0166833333333333,0
"12271",12271,12,0.05005,0
"12273",12273,12,0.483716666666667,0
"12274",12274,13,10.8409538461538,0
"12275",12275,13,31.9101,0.7848
"12396",12396,17,0.7771,0
"12397",12397,17,1.38708823529412,0
"12398",12398,17,2.82226470588235,0
"12399",12399,17,0.616511764705882,0
"12400",12400,17,0.929605882352941,0
"12401",12401,17,0.381794117647059,0
"12417",12417,12,0.0166833333333333,0
"12418",12418,12,0.05005,0
"12420",12420,12,0.0500416666666667,0
"12421",12421,13,0.954746153846154,0
"12422",12422,13,36.1921923076923,0.9134
"12536",12536,17,2.43871764705882,0
"12537",12537,17,0.0674470588235294,0
"12538",12538,17,0,0
"12539",12539,17,0.347964705882353,0
"12540",12540,17,0,0
"12557",12557,12,0,0
"12558",12558,12,0.05005,0
"12559",12559,12,0.0269416666666667,0
"12560",12560,12,0.0875833333333333,0
"12561",12561,13,0.2464,0
"12562",12562,13,11.0270615384615,0
"12681",12681,17,25.0091,0.2333
"12682",12682,17,2.07903529411765,0
"12683",12683,17,0.865547058823529,0
"12684",12684,17,0,0
"12685",12685,17,0.0336764705882353,0
"12686",12686,17,0,0
"12703",12703,12,0.0166833333333333,0
"12704",12704,12,0.05005,0
"12705",12705,12,0.0333583333333333,0
"12707",12707,13,0.0924,0
"12708",12708,13,1.24746923076923,0
"12730",12730,20,0.112345,0
"12731",12731,20,0.43606,0
"12822",12822,21,12.0055285714286,0
"12823",12823,21,2.14475714285714,0
"12824",12824,21,0.178857142857143,0
"12825",12825,21,0,0
