"","num_times_surv","kde_grid_id","kde","kde.bin","kde.75","gstat_grid_id","gstat","gstat.bin","gstat.75","persistence_grid_id","persistence","persistence.bin","persistence.75","conditional_grid_id","conditional","conditional.bin","conditional.75"
"10041",7,10041,0.000369882515474,0,0,10041,-0.222250332552496,0,0,10041,0,0,0,10041,0,0,0
"12537",17,12537,0.033290600939654,0,0,12537,-0.266871668539998,0,0,12537,0.058823529,0,0,12537,0,0,0
"13686",10,13686,0.000270370630359,0,0,13686,-0.287111386811686,0,0,13686,0,0,0,13686,0,0,0
"14711",15,14711,0.000929388269287,0,0,14711,-0.256278342626812,0,0,14711,0.066666667,0,0,14711,0,0,0
"12987",12,12987,0.0054159414851,0,0,12987,-0.285209420187008,0,0,12987,0.083333333,0,0,12987,0,0,0
"15794",14,15794,0.176509699059857,0,0,15794,-0.248250470462962,0,0,15794,0.285714286,0,0,15794,0,0,0
"15924",27,15924,7.514999071757,1,7.514999071757,15924,2.14694169789877,1,2.14694169789877,15924,0.592592593,1,0.592592593,15924,0.9998,1,0.9998
"8835",6,8835,0.024927393253893,0,0,8835,-0.269919744642615,0,0,8835,0.5,0,0,8835,0,0,0
"10428",12,10428,0.064084431777398,0,0,10428,-0.264928622722562,0,0,10428,0.166666667,0,0,10428,0,0,0
"16525",13,16525,0.181366898491979,0,0,16525,-0.167088636983706,0,0,16525,0.615384615,1,0.615384615,16525,0,0,0
"17203",13,17203,0.23851468116045,0,0,17203,-0.191704961632074,0,0,17203,0.615384615,1,0.615384615,17203,0,0,0
"10960",17,10960,0.059354708095392,0,0,10960,-0.260771408415489,0,0,10960,0,0,0,10960,0,0,0
"17354",13,17354,0.434739810228348,1,0.434739810228348,17354,-0.138251277649813,0,0,17354,0.692307692,1,0.692307692,17354,0,0,0
"15575",14,15575,0.090006776216129,0,0,15575,-0.229452631857067,0,0,15575,0.214285714,0,0,15575,0,0,0
"16529",13,16529,0.07221969012171,0,0,16529,-0.241792189663929,0,0,16529,0.153846154,0,0,16529,0,0,0
"8839",7,8839,0.167356803268194,0,0,8839,-0.143242993211838,0,0,8839,0.142857143,0,0,8839,0,0,0
"14983",6,14983,0.348097705282271,0,0,14983,-0.0385957714793398,1,-0.0385957714793398,14983,0,0,0,14983,0,0,0
"10048",6,10048,0.064195900860553,0,0,10048,-0.211813226486937,0,0,10048,0.166666667,0,0,10048,0,0,0
"12561",13,12561,0.099702951622506,0,0,12561,-0.236362152078901,0,0,12561,0.461538462,0,0,12561,0,0,0
"15766",13,15766,0.019431851571426,0,0,15766,-0.276496523403113,0,0,15766,0.461538462,0,0,15766,0,0,0
"9915",6,9915,0.013398605033096,0,0,9915,-0.28691420668645,0,0,9915,0,0,0,9915,0,0,0
"14812",14,14812,0.717087414860725,1,0.717087414860725,14812,0.012479970377747,1,0.012479970377747,14812,0.928571429,1,0.928571429,14812,0.0013,1,0.0013
"14782",6,14782,0.012552349991165,0,0,14782,-0.218163806093008,0,0,14782,0,0,0,14782,0,0,0
"11003",20,11003,0.039421456928054,0,0,11003,-0.245754646084521,0,0,11003,0.2,0,0,11003,0,0,0
"13413",10,13413,0.002176751638763,0,0,13413,-0.286955285879207,0,0,13413,0.1,0,0,13413,0,0,0
"11556",20,11556,0.127463375659365,0,0,11556,-0.252070835389422,0,0,11556,0.25,0,0,11556,0,0,0
"12845",12,12845,0.001244499686193,0,0,12845,-0.286376069261325,0,0,12845,0,0,0,12845,0,0,0
"15991",13,15991,0.007782512530684,0,0,15991,-0.250566528273143,0,0,15991,0.153846154,0,0,15991,0,0,0
"17129",27,17129,2.07517884174983,1,2.07517884174983,17129,0.406416092646038,1,0.406416092646038,17129,0.407407407,0,0,17129,0.9236,1,0.9236
"15367",14,15367,0.025647535873577,0,0,15367,-0.282600891446898,0,0,15367,0.214285714,0,0,15367,0,0,0
"13688",10,13688,0.00061861492771,0,0,13688,-0.286979933394862,0,0,13688,0,0,0,13688,0,0,0
"12827",21,12827,1.8335714913e-05,0,0,12827,-0.22244114312648,0,0,12827,0,0,0,12827,0,0,0
"9767",6,9767,3.6537773296237,1,3.6537773296237,9767,1.21636242060218,1,1.21636242060218,9767,1,1,1,9767,0,0,0
"15770",13,15770,0.006104301958112,0,0,15770,-0.253064299180214,0,0,15770,0.076923077,0,0,15770,0,0,0
"8689",7,8689,0.006012092746096,0,0,8689,-0.220453532980815,0,0,8689,0.142857143,0,0,8689,0,0,0
"14529",13,14529,0.008762365329312,0,0,14529,-0.218142604918121,0,0,14529,0.230769231,0,0,14529,0,0,0
"16920",15,16920,0.075137253643738,0,0,16920,-0.253853672355103,0,0,16920,0.333333333,0,0,16920,0,0,0
"15879",12,15879,0.017844852207131,0,0,15879,-0.246911701725297,0,0,15879,0.25,0,0,15879,0,0,0
"11738",17,11738,0.53101289586017,1,0.53101289586017,11738,-0.11899068253178,0,0,11738,0.529411765,1,0.529411765,11738,0,0,0
"17296",27,17296,19.6844334125519,1,19.6844334125519,17296,4.95168419439104,1,4.95168419439104,17296,0.777777778,1,0.777777778,17296,0.9985,1,0.9985
"9358",7,9358,0.165508498810232,0,0,9358,-0.189444604900117,0,0,9358,0.428571429,0,0,9358,0,0,0
"11673",20,11673,0.016996098891832,0,0,11673,-0.216584318563919,0,0,11673,0.2,0,0,11673,0,0,0
"15376",27,15376,2.37029932141304,1,2.37029932141304,15376,0.480421738749286,1,0.480421738749286,15376,0.444444444,0,0,15376,0.983,1,0.983
"13975",20,13975,0.44003437384963,1,0.44003437384963,13975,-0.114467863409164,1,-0.114467863409164,13975,0.5,0,0,13975,0,0,0
"17424",14,17424,0.319576831907034,0,0,17424,-0.156987815956286,0,0,17424,0.642857143,1,0.642857143,17424,0,0,0
"9088",7,9088,0.032402044069022,0,0,9088,-0.268962599451362,0,0,9088,0.571428571,1,0.571428571,9088,0,0,0
"11399",17,11399,1.91199921071529,1,1.91199921071529,11399,0.111249448715283,1,0.111249448715283,11399,0.529411765,1,0.529411765,11399,0,0,0
"9357",7,9357,0.803784187634786,1,0.803784187634786,9357,-0.0624410657816167,1,-0.0624410657816167,9357,0.714285714,1,0.714285714,9357,0,0,0
"11140",17,11140,0.002091406757245,0,0,11140,-0.220347527106379,0,0,11140,0,0,0,11140,0,0,0
"12846",12,12846,0.000403006884699,0,0,12846,-0.256544649083816,0,0,12846,0,0,0,12846,0,0,0
"12559",12,12559,0.002108262057471,0,0,12559,-0.256016627660446,0,0,12559,0.083333333,0,0,12559,0,0,0
"13817",10,13817,0.004316468650359,0,0,13817,-0.281043990041383,0,0,13817,0.1,0,0,13817,0,0,0
"15884",13,15884,0.018320253351703,0,0,15884,-0.251126690130979,0,0,15884,0.076923077,0,0,15884,0,0,0
"13699",14,13699,1.49376405477524,1,1.49376405477524,13699,0.175579992894685,1,0.175579992894685,13699,0.571428571,1,0.571428571,13699,0.4847,1,0.4847
"13949",10,13949,0.011870200699195,0,0,13949,-0.285069750931632,0,0,13949,0.3,0,0,13949,0,0,0
"9218",6,9218,0.4519271671772,1,0.4519271671772,9218,-0.169682406394705,0,0,9218,1,1,1,9218,0,0,0
"11628",17,11628,0.404793168324977,0,0,11628,-0.0462887271893137,1,-0.0462887271893137,11628,0.117647059,0,0,11628,0,0,0
"9766",6,9766,0.031677721627057,0,0,9766,-0.275157341719214,0,0,9766,0.166666667,0,0,9766,0,0,0
"10868",17,10868,0.067500867322087,0,0,10868,-0.260241486828916,0,0,10868,0.117647059,0,0,10868,0,0,0
"12140",12,12140,1.96464186906815,1,1.96464186906815,12140,0.296950364345534,1,0.296950364345534,12140,0.666666667,1,0.666666667,12140,0.9958,1,0.9958
"13937",16,13937,0.07571026707689,0,0,13937,-0.26013057300847,0,0,13937,0.0625,0,0,13937,0,0,0
"9914",6,9914,0.192126885784091,0,0,9914,-0.17543760130005,0,0,9914,0,0,0,9914,0,0,0
"9085",7,9085,0.010332960262895,0,0,9085,-0.285706478419375,0,0,9085,0.285714286,0,0,9085,0,0,0
"15804",27,15804,24.0222053527832,1,24.0222053527832,15804,4.41830885553115,1,4.41830885553115,15804,0.407407407,0,0,15804,1,1,1
"13708",20,13708,0.044476992140214,0,0,13708,-0.265368170085069,0,0,13708,0.25,0,0,13708,0,0,0
"10298",12,10298,0.120002690237015,0,0,10298,-0.252194072967695,0,0,10298,0.083333333,0,0,10298,0,0,0
"8100",7,8100,0.121532058529556,0,0,8100,-0.172305664812214,0,0,8100,0.571428571,1,0.571428571,8100,0,0,0
"10321",7,10321,0.055107301031239,0,0,10321,-0.179682480930172,0,0,10321,0.142857143,0,0,10321,0,0,0
